City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
chara,0,RU,1578444369,82,56.9,118.26,-5.8,1.01
mar del plata,66,AR,1578444369,20,-46.43,-67.52,66.22,32.61
broome,75,AU,1578444369,88,-17.97,122.23,82.4,12.75
mount gambier,89,AU,1578444370,47,-37.83,140.78,75.2,10.29
rikitea,11,PF,1578444370,77,-23.12,-134.97,77.67,18.86
longyearbyen,40,SJ,1578444370,68,78.22,15.64,30.2,38.03
kahului,40,US,1578444370,57,20.89,-156.47,80.6,20.8
kiunga,100,PG,1578444370,99,-6.12,141.3,73.89,2.35
yellowknife,20,CA,1578444321,66,62.45,-114.38,-31.0,2.24
sao francisco,71,BR,1578444370,78,-25.65,-53.85,80.6,4.7
acapulco,40,MX,1578444370,78,16.86,-99.88,82.4,3.36
bambous virieux,75,MU,1578444371,94,-20.34,57.76,77.0,5.61
waipawa,17,NZ,1578444371,43,-39.94,176.59,71.01,4
kaitangata,76,NZ,1578444371,71,-46.28,169.85,53.64,4.81
okhotsk,100,RU,1578444371,74,59.36,143.24,-3.77,7.85
tasiilaq,100,GL,1578444371,45,65.61,-37.64,7.52,28.07
khatanga,94,RU,1578444371,95,71.98,102.47,5.2,9.53
cape town,75,ZA,1578444282,100,-33.93,18.42,66.99,5.82
denpasar,20,ID,1578444175,79,-8.65,115.22,84.2,12.75
hofn,84,IS,1578444372,58,64.25,-15.21,33.67,47.11
kapaa,40,US,1578444372,61,22.08,-159.32,80.6,24.16
vila velha,75,BR,1578444372,78,-3.71,-38.6,86.0,6.93
vaini,40,TO,1578444372,74,-21.2,-175.2,84.2,9.17
macaravita,27,CO,1578444372,89,6.51,-72.59,47.95,3.71
isangel,75,VU,1578444372,55,-19.55,169.27,86.0,17.22
thompson,40,CA,1578444127,75,55.74,-97.86,-14.8,4.7
ribeira grande,20,PT,1578444372,91,38.52,-28.7,60.75,15.57
uribia,0,CO,1578444373,76,11.71,-72.27,76.82,3.06
lebu,79,CL,1578444373,77,-37.62,-73.65,58.62,3.42
mastic beach,90,US,1578444373,80,40.77,-72.85,39.0,5.82
gidole,100,ET,1578444373,76,5.65,37.37,67.06,1.34
dikson,93,RU,1578444373,97,73.51,80.55,-0.76,8.75
varhaug,90,NO,1578444373,93,58.61,5.65,50.0,18.34
atikokan,100,CA,1578444373,89,48.76,-91.62,-4.11,10.47
bredasdorp,0,ZA,1578444184,88,-34.53,20.04,69.8,4.7
ponta do sol,75,CV,1578444196,64,17.2,-25.09,69.8,23.04
pevek,0,RU,1578444374,76,69.7,170.27,-9.54,13.49
saint-philippe,71,RE,1578444374,78,-21.36,55.77,77.0,4.7
roald,100,NO,1578444374,87,62.58,6.12,48.2,34.45
soddy-daisy,1,US,1578444374,65,35.24,-85.19,48.2,5.86
hami,0,CN,1578444374,59,42.84,93.51,14.5,3.91
laborie,20,LC,1578444374,69,13.75,-60.98,80.6,20.8
manicore,100,BR,1578444375,72,-5.81,-61.3,81.77,2.71
tautira,40,PF,1578444375,70,-17.73,-149.15,87.8,8.05
chokurdakh,0,RU,1578444375,93,70.62,147.9,-26.07,5.75
rudnichnyy,35,RU,1578444375,85,59.7,60.29,4.03,3.8
monte patria,0,CL,1578444375,61,-30.69,-70.96,63.1,4.54
oktyabrskoye,40,RU,1578444375,85,56.73,85.44,21.0,8.95
riyadh,0,SA,1578444216,66,24.63,46.72,50.0,5.82
port alfred,100,ZA,1578444376,98,-33.59,26.89,69.01,5.01
busselton,27,AU,1578444376,57,-33.64,115.35,73.0,4
albany,20,AU,1578444376,73,-35.02,117.88,69.8,13.87
qaanaaq,15,GL,1578444376,81,77.48,-69.36,-25.51,1.07
rocha,0,UY,1578444376,52,-34.48,-54.34,61.56,4.63
beaufort,75,MY,1578444376,83,5.36,115.76,82.4,6.93
cockburn town,74,BS,1578444376,79,24.03,-74.52,74.77,12.06
vao,99,NC,1578444376,71,-22.67,167.48,75.58,15.46
atuona,9,PF,1578444377,78,-9.8,-139.03,80.89,14.27
whitehorse,75,CA,1578444377,76,60.72,-135.06,-9.0,6.93
bainbridge,1,US,1578444377,57,30.9,-84.58,54.0,5.82
butaritari,52,KI,1578444377,79,3.07,172.79,84.54,17.69
arraial do cabo,28,BR,1578444203,90,-22.97,-42.02,79.29,19.08
puerto carreno,0,CO,1578444337,51,6.19,-67.49,83.5,10.36
velikiy ustyug,100,RU,1578444378,94,60.76,46.3,16.39,8.57
kuala terengganu,40,MY,1578444378,83,5.33,103.14,80.6,8.05
avarua,68,CK,1578444378,78,-21.21,-159.78,82.4,8.05
tuktoyaktuk,40,CA,1578444378,66,69.44,-133.03,-32.8,12.75
seminole,1,US,1578444248,15,32.72,-102.64,51.8,5.82
ushuaia,90,AR,1578444378,87,-54.81,-68.31,50.0,10.29
contamana,39,PE,1578444378,63,-7.35,-75.01,80.24,2.08
youkounkoun,53,GN,1578444378,16,12.53,-13.12,66.58,4.03
dakoro,68,NE,1578444141,19,14.51,6.76,63.63,12.97
rabo de peixe,20,PT,1578444378,93,37.8,-25.58,64.4,9.17
bluff,100,NZ,1578444379,61,-46.6,168.33,57.25,10.83
seoul,90,KR,1578444330,86,37.57,126.98,39.2,2.24
fort frances,1,CA,1578444379,64,48.61,-93.4,-0.4,12.75
roberval,75,CA,1578444379,84,48.51,-72.22,16.0,2.24
goundam,5,ML,1578444379,19,16.42,-3.66,63.68,9.55
fort saint james,100,CA,1578444379,95,54.43,-124.25,12.07,3.65
shawnee,1,US,1578444379,31,35.33,-96.93,55.0,5.82
igarka,100,RU,1578444380,96,67.47,86.57,-0.26,12.46
pisco,12,PE,1578444150,83,-13.71,-76.2,73.4,14.99
popondetta,100,PG,1578444380,72,-8.77,148.24,77.92,3.76
along,98,IN,1578444380,66,28.17,94.8,48.79,4.05
kupang,90,ID,1578444380,83,-10.16,123.6,78.8,5.82
punta arenas,92,CL,1578444380,58,-53.16,-70.91,55.4,10.29
norman wells,20,CA,1578444380,64,65.28,-126.83,-43.6,4.7
puerto ayora,75,EC,1578444380,74,-0.74,-90.35,80.6,8.05
luderitz,74,NA,1578444380,93,-26.65,15.16,62.6,3.36
saint george,75,BM,1578444381,55,32.38,-64.68,66.2,13.87
upington,75,ZA,1578444381,88,-28.46,21.24,71.6,5.82
port elizabeth,40,ZA,1578444381,94,-33.92,25.57,68.0,10.29
miles city,90,US,1578444381,92,46.41,-105.84,30.0,11.41
victoria,20,SC,1578444348,74,-4.62,55.45,82.4,2.24
sitka,0,US,1578444381,33,37.17,-99.65,46.0,5.99
harper,2,LR,1578444381,87,4.38,-7.71,74.46,3.53
plouzane,90,FR,1578444382,100,48.38,-4.62,53.6,18.34
bud,100,NO,1578444382,87,62.91,6.91,48.2,13.87
fare,8,PF,1578444382,79,-16.7,-151.02,82.24,19.24
mortka,63,RU,1578444382,95,59.33,66.02,1.71,5.37
tiksi,97,RU,1578444382,89,71.64,128.87,-8.39,5.39
eenhana,79,NA,1578444382,69,-17.48,16.34,77.0,5.82
new norfolk,20,AU,1578444382,37,-42.78,147.06,73.99,5.82
gatesville,1,US,1578444181,16,31.44,-97.74,59.0,3.36
hermanus,0,ZA,1578444383,95,-34.42,19.24,66.99,8.01
saskylakh,96,RU,1578444383,97,71.97,114.09,-3.55,8.1
nikolskoye,90,RU,1578444383,80,59.7,30.79,39.2,8.95
darhan,0,MN,1578444383,89,49.49,105.92,-6.25,3.76
ashikaga,90,JP,1578444383,100,36.37,139.45,39.99,5.82
shingu,75,JP,1578444383,88,33.72,135.99,64.4,6.93
gioia del colle,79,IT,1578444383,86,40.8,16.92,44.01,6.93
saldanha,0,ZA,1578444383,88,-33.01,17.94,64.4,6.93
malindi,31,KE,1578444384,96,-3.22,40.12,75.65,3.36
san jose,23,PH,1578444384,83,15.79,120.99,69.53,6.22
mehamn,67,NO,1578444384,87,71.03,27.85,31.44,12.55
kajaani,90,FI,1578444384,93,64.22,27.73,35.6,12.75
hobart,20,AU,1578444384,37,-42.88,147.33,73.99,5.82
burla,97,RU,1578444384,95,53.34,78.33,11.62,4.94
topola,0,RS,1578444384,100,44.25,20.68,23.0,2.35
ancud,90,CL,1578444384,76,-41.87,-73.83,55.4,6.93
scottsboro,1,US,1578444341,60,34.67,-86.03,48.99,9.06
sola,75,VU,1578444385,79,-13.88,167.55,86.0,5.82
chuy,0,UY,1578444385,61,-33.69,-53.46,65.97,7.92
mount isa,95,AU,1578444385,43,-20.73,139.49,91.4,9.17
mudanya,75,TR,1578444385,86,40.38,28.88,41.0,3.36
severo-kurilsk,59,RU,1578444385,90,50.68,156.12,21.56,13.15
constitucion,5,MX,1578444385,15,23.99,-104.67,68.0,5.82
nelson bay,75,AU,1578444385,73,-32.72,152.14,82.99,19.46
iqaluit,90,CA,1578444386,62,63.75,-68.52,-14.8,10.29
aklavik,5,CA,1578444386,72,68.22,-135.01,-36.4,3.36
sao filipe,96,CV,1578444386,74,14.9,-24.5,67.71,23.58
clyde river,20,CA,1578444386,50,70.47,-68.59,-20.2,6.93
pangody,31,RU,1578444386,96,65.85,74.49,-5.35,9.78
novyy urengoy,87,RU,1578444386,96,66.08,76.63,-4.68,10.45
komsomolskiy,99,RU,1578444387,96,67.55,63.78,2.52,7.9
padang,98,ID,1578444387,86,-0.92,100.36,69.33,6.15
kidal,14,ML,1578444387,19,18.44,1.41,61.52,15.14
hithadhoo,98,MV,1578444387,76,-0.6,73.08,83.32,11.1
souillac,75,MU,1578444387,94,-20.52,57.52,77.0,2.93
colquechaca,100,BO,1578444387,77,-18.7,-66,53.89,6.82
puerto escondido,5,MX,1578444387,70,15.86,-97.07,84.2,1.54
port-cartier,40,CA,1578444387,92,50.03,-66.88,10.99,5.82
nuevitas,20,CU,1578444387,88,21.55,-77.27,71.6,9.17
ruteng,100,ID,1578444388,93,-8.61,120.46,71.71,3.38
torbay,90,CA,1578444388,85,47.66,-52.73,24.01,8.05
caconda,100,AO,1578444388,96,-13.73,15.06,61.86,3.6
blythe,1,US,1578444388,27,33.61,-114.59,64.4,5.82
castro,90,CL,1578444388,76,-42.48,-73.76,55.4,6.93
kodiak,1,US,1578444388,51,39.95,-94.76,44.01,10.29
dingle,73,IE,1578444388,80,52.14,-10.27,49.57,16.26
san cristobal,70,EC,1578444389,76,-1.02,-79.44,78.33,3.38
aleksandrovsk-sakhalinskiy,93,RU,1578444389,93,50.9,142.16,15.01,10.85
baoqing,96,CN,1578444389,91,46.32,132.2,2.14,4.99
woodstock,90,CA,1578444389,69,43.13,-80.75,36.0,17.22
gillette,60,US,1578444234,59,44.29,-105.5,37.99,3
jamestown,91,SH,1578444389,79,-15.94,-5.72,73.33,7.58
lorengau,100,PG,1578444389,92,-2.02,147.27,78.44,11.63
jinxiang,0,CN,1578444389,74,35.07,116.31,30.34,4.12
beringovskiy,97,RU,1578444390,98,63.05,179.32,-4.86,7.09
haines junction,100,CA,1578444245,98,60.75,-137.51,-7.58,4.99
khromtau,100,KZ,1578444390,94,50.26,58.44,13.66,2.95
mahebourg,75,MU,1578444390,94,-20.41,57.7,77.0,2.93
barrow,1,US,1578444390,51,39.51,-90.4,43.0,8.05
iskateley,14,RU,1578444390,96,67.68,53.15,3.18,11.12
sayville,90,US,1578444391,78,40.74,-73.08,39.2,6.93
fairbanks,20,US,1578444277,73,64.84,-147.72,-22.0,1.03
banyo,77,CM,1578444391,36,6.75,11.81,66.36,4.99
geraldton,20,AU,1578444391,64,-28.77,114.6,75.2,21.92
deputatskiy,100,RU,1578444391,93,69.3,139.9,-7.6,3.44
alice springs,91,AU,1578444166,26,-23.7,133.88,91.4,14.99
east london,100,ZA,1578444391,88,-33.02,27.91,74.71,17.07
hilo,75,US,1578444391,45,19.71,-155.08,86.0,16.11
zhangye,99,CN,1578444392,65,38.94,100.46,18.21,0.25
okato,16,NZ,1578444392,53,-39.19,173.88,64.99,5.01
nago,75,JP,1578444392,82,26.59,127.98,68.0,26.4
hobyo,92,SO,1578444392,80,5.35,48.53,76.66,13.85
gien,100,FR,1578444392,98,47.69,2.63,51.01,9.46
guerrero negro,93,MX,1578444392,31,27.97,-114.04,69.53,6.69
koslan,93,RU,1578444392,95,63.46,48.9,13.19,6.71
tashtagol,100,RU,1578444393,87,52.76,87.85,11.43,2.59
san juan,0,AR,1578444370,25,-31.54,-68.53,89.15,18.52
ilulissat,40,GL,1578444393,49,69.22,-51.1,-2.2,14.99
lavrentiya,37,RU,1578444393,93,65.58,-170.99,-12.46,2.24
mayo,90,CA,1578444393,69,63.59,-135.9,-13.0,5.82
kruisfontein,99,ZA,1578444393,95,-34,24.73,65.73,5.53
prince rupert,40,CA,1578444393,69,54.32,-130.32,33.8,10.29
wanning,9,CN,1578444393,89,18.8,110.4,70.14,3.09
puerto el triunfo,20,SV,1578444394,83,13.27,-88.55,77.0,1.12
hohhot,59,CN,1578444394,83,40.81,111.65,-4.0,4.47
zyryanka,19,RU,1578444394,78,65.73,150.89,-23.58,5.77
saurimo,98,AO,1578444394,98,-9.66,20.4,64.13,3.11
cobija,36,BO,1578444394,59,-11.03,-68.77,81.45,2.95
naze,75,JP,1578444394,77,28.37,129.48,64.4,14.99
garden city,90,US,1578444394,73,40.73,-73.63,39.99,6.93
outlook,68,CA,1578444394,72,51.48,-107.04,-2.0,8.99
katherine,94,AU,1578444395,70,-14.47,132.26,84.2,2.24
lagoa,0,PT,1578444395,87,37.14,-8.45,55.0,5.82
georgetown,100,SH,1578444395,76,-7.93,-14.42,77.38,13.6
berezovka,76,RU,1578444395,97,57.6,57.31,6.06,1.7
college,20,US,1578444395,73,64.86,-147.8,-22.0,1.68
kijang,40,ID,1578444395,83,0.9,104.63,80.6,9.17
cidreira,2,BR,1578444395,72,-30.17,-50.22,75.06,11.14
provideniya,0,RU,1578444395,91,64.42,-173.23,-11.51,1.43
steamboat springs,1,US,1578444396,67,40.48,-106.83,30.2,1.36
klaksvik,96,FO,1578444396,69,62.23,-6.59,37.4,17.22
tomatlan,53,MX,1578444396,53,19.93,-105.25,76.08,2.86
sept-iles,40,CA,1578444296,92,50.2,-66.38,10.99,5.82
afua,99,BR,1578444396,88,-0.16,-50.39,77.65,8.16
yumen,29,CN,1578444396,76,40.29,97.04,10.26,2.39
shimoda,75,JP,1578444396,100,34.7,138.93,55.4,6.93
phu ly,52,VN,1578444396,90,20.54,105.91,70.14,3.76
cabo san lucas,20,MX,1578444396,68,22.89,-109.91,73.4,10.29
yulara,100,AU,1578444397,27,-25.24,130.99,89.6,18.34
nemuro,75,JP,1578444397,85,43.32,145.57,23.0,5.41
preobrazheniye,100,RU,1578444397,77,42.9,133.91,26.1,10.47
laguna de perlas,0,NI,1578444397,78,12.34,-83.67,80.4,24.45
tigzirt,0,DZ,1578444397,92,36.57,4.2,38.77,0.25
sorong,100,ID,1578444397,96,-0.86,131.25,76.84,1.01
bethel,1,US,1578444397,68,60.79,-161.76,-14.8,17.22
tessalit,52,ML,1578444397,16,20.2,1.01,60.66,17.69
melilla,0,ES,1578444397,87,35.29,-2.94,48.2,2.24
hambantota,82,LK,1578444398,79,6.12,81.12,79.92,21.47
arlit,62,NE,1578444398,14,18.74,7.39,64.22,13.96
mildura,0,AU,1578444398,41,-34.18,142.16,77.0,8.05
florianopolis,75,BR,1578444248,83,-27.6,-48.55,77.0,5.82
nouadhibou,46,MR,1578444398,62,20.93,-17.03,59.0,17.22
narsaq,77,GL,1578444398,78,60.91,-46.05,10.4,2.24
otradnoye,90,RU,1578444398,80,59.77,30.8,39.2,8.95
progreso,68,MX,1578444399,50,20.25,-99.19,50.97,10.63
krasnoshchekovo,67,RU,1578444399,79,51.67,82.73,7.95,1.9
chesma,100,RU,1578444399,95,53.81,60.65,16.99,5.32
praia da vitoria,40,PT,1578444399,77,38.73,-27.07,66.2,20.42
fomboni,67,KM,1578444399,74,-12.28,43.74,82.99,4.7
cherskiy,0,RU,1578444399,74,68.75,161.3,-19.37,8.99
tiarei,40,PF,1578444399,70,-17.53,-149.33,87.8,8.05
marsa matruh,1,EG,1578444288,65,31.35,27.25,58.26,31.83
abu dhabi,0,AE,1578444183,82,24.47,54.37,64.4,3.36
axim,28,GH,1578444400,80,4.87,-2.24,76.01,3.62
timmins,90,CA,1578444400,100,48.48,-81.33,23.0,7.61
faanui,13,PF,1578444400,80,-16.48,-151.75,82.17,18.32
pindiga,0,NG,1578444400,25,9.98,10.93,71.11,15.77
bintulu,75,MY,1578444181,100,3.17,113.03,77.0,1.23
dargaville,17,NZ,1578444400,56,-35.94,173.86,65.84,11.34
healdsburg,1,US,1578444379,81,38.61,-122.87,57.2,11.41
shache,99,CN,1578444400,92,38.42,77.24,21.69,1.63
kristiansund,100,NO,1578444401,81,63.12,7.73,46.4,31.09
coihaique,90,CL,1578444401,87,-45.58,-72.07,44.6,4.7
tete,75,MZ,1578444401,94,-16.16,33.59,75.2,2.91
aurich,75,DE,1578444401,81,53.47,7.48,46.4,19.46
palmer,90,US,1578444401,84,61.6,-149.11,1.0,1.28
aykhal,75,RU,1578444401,92,65.95,111.51,5.0,4.47
pouembout,64,NC,1578444401,47,-21.12,164.9,83.88,7.61
sao cristovao,20,BR,1578444401,69,-11.01,-37.21,80.6,12.75
gorontalo,100,ID,1578444402,89,0.54,123.06,76.21,8.14
kangasala,90,FI,1578444402,93,61.46,24.07,39.99,16.11
batagay-alyta,100,RU,1578444402,83,67.8,130.41,-7.38,3.02
bubaque,50,GW,1578444402,45,11.28,-15.83,77.02,16.2
abalak,73,NE,1578444402,17,15.46,6.28,63.5,15.23
kitimat,75,CA,1578444402,73,54.02,-128.69,24.8,23.04
samarai,100,PG,1578444402,62,-10.62,150.67,86.16,5.46
baruun-urt,0,MN,1578444402,90,46.68,113.28,-3.17,6.93
contagem,90,BR,1578444402,88,-19.91,-44.08,75.2,6.93
alice,99,ZA,1578444106,94,-32.79,26.83,67.39,3.78
cedartown,1,US,1578444315,45,34.01,-85.26,51.01,9.17
portland,31,AU,1578444403,74,-33.35,149.98,90.0,1.01
westport,100,IE,1578444403,82,53.8,-9.52,46.0,4
ipinda,74,TZ,1578444403,71,-9.48,33.88,72.07,2.35
labuhan,100,ID,1578444403,77,-2.54,115.51,77.97,0.22
panzhihua,2,CN,1578444403,86,26.59,101.72,38.25,1.32
